TIMESTAMP,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg
2017-04-15 00:00:00,7.986000000000001,149.3,15.53,17.79,62.12,29.4
2017-04-15 01:00:00,9.39,151.5,14.39,19.61,62.61,29.38
2017-04-15 02:00:00,9.68,164.4,15.49,18.17,61.86,29.37
2017-04-15 03:00:00,8.53,174.4,17.88,15.62,61.69,29.37
2017-04-15 04:00:00,7.914,192.7,18.75,17.86,62.05,29.37
2017-04-15 05:00:00,7.3260000000000005,192.9,14.87,14.98,62.27,29.37
2017-04-15 06:00:00,9.58,207.9,14.48,19.16,63.97,29.37
2017-04-15 07:00:00,10.84,214.0,14.77,20.35,66.41,29.37
2017-04-15 08:00:00,11.13,224.6,17.03,23.5,68.93,29.36
2017-04-15 09:00:00,12.66,234.8,14.5,23.89,71.89,29.36
2017-04-15 10:00:00,14.81,229.3,17.8,27.74,75.3,29.35
2017-04-15 11:00:00,14.37,222.9,17.52,27.88,75.52,29.34
2017-04-15 12:00:00,16.9,214.7,16.0,30.62,78.63,29.31
2017-04-15 13:00:00,19.07,216.5,17.46,36.68,79.98,29.29
2017-04-15 14:00:00,19.0,211.2,14.63,36.61,80.9,29.27
2017-04-15 15:00:00,20.37,211.3,14.25,36.12,81.1,29.26
2017-04-15 16:00:00,19.18,213.0,15.34,36.01,81.1,29.25
2017-04-15 17:00:00,18.01,210.8,14.29,34.44,80.5,29.24
2017-04-15 18:00:00,13.8,214.3,14.61,27.99,78.84,29.24
2017-04-15 19:00:00,11.54,211.4,11.37,22.8,77.51,29.25
2017-04-15 20:00:00,9.41,203.5,14.54,18.77,75.82,29.25
2017-04-15 21:00:00,12.03,200.5,14.52,24.83,74.15,29.23
2017-04-15 22:00:00,13.75,208.5,12.51,25.78,73.2,29.22
2017-04-15 23:00:00,11.67,202.9,14.89,24.73,71.82,29.21
2017-04-16 00:00:00,13.92,205.1,14.96,28.72,71.35,29.17
2017-04-16 01:00:00,14.95,251.5,35.54,28.86,70.66,29.19
